哎,āi,hey
克服,kè fú,overcome; conquer; endure
客观,kè guān,objective
可见,kě jiàn,it is thus clear that; visible; visual
可靠,kě kào,reliable; dependable; trustworthy
刻苦,kè kǔ,assiduous; hardworking; painstaking
可怕,kě pà,frightening; dreadful
空间,kōng jiān,space; enclosure
空闲,kòng xián,free time; spare time
控制,kòng zhì,control; regulate
口味,kǒu wèi,flavour/taste
夸,kuā,exaggerate; boast
夸张,kuā zhāng,to exaggerate
会计,kuài jì,accountancy
宽,kuān,wide
昆虫,kūn chóng,insect
扩大,kuò dà,to expand
辣椒,là jiāo,chilli
拦,lán,bar; block; hinder
烂,làn,mashed; mushy; sodden
朗读,lǎng dú,read aloud; read loudly and clearly
老百姓,lǎo bǎi xìng,common people; civilians
老板,lǎo bǎn,boss; proprietor; shopkeeper
劳动,láo dòng,labour; bother
劳驾,láo jià,excuse me
姥姥,lǎo lao,grandmother [mother's mother]
老婆,lǎo po,wife [colloquial]
老实,lǎo shi,honest; frank
老鼠,lǎo shǔ,mouse; rat
乐观,lè guān,optimistic
雷,léi,thunder
类型,lèi xíng,type
冷淡,lěng dàn,treat coldly; give the cold shoulder to
梨,lí,pear
离婚,lí hūn,divorce
立即,lì jí,immediately; at once; promptly
立刻,lì kè,immediately; at once; right away
力量,lì liang,physical strength; power
理论,lǐ lùn,theory
厘米,lí mǐ,centimetre
利润,lì rùn,profit
利息,lì xī,interest rate
利益,lì yì,gain; benefit; profit
利用,lì yòng,make use of; take advantage of
理由,lǐ yóu,reason; justification
恋爱,liàn ài,love
联合,lián hé,alliance; union
连忙,lián máng,promptly; immediately; instantly
连续,lián xù,continuous
亮,liàng,bright; to shine
良好,liáng hǎo,good; fine
粮食,liáng shi,grain; cereals
了不起,liǎo bu qǐ,amazing; terrific; extraordinary
列车,liè chē,train
临时,lín shí,temporary; provisional
铃,líng,bell; [bell-shaped things]
领导,lǐng dǎo,lead; leader
灵活,líng huó,nimble; agile; flexible
零件,líng jiàn,part; element; component
零食,líng shí,snacks; nibbles between meals
领域,lǐng yù,territory; domain; field
流传,liú chuán,spread; circulate; hand down
浏览,liú lǎn,glance over; skim through; browse
流泪,liú lèi,to shed tears
龙,lóng,dragon
漏,lòu,to leak; divulge; disclose
陆地,lù dì,dry land; terrace
录取,lù qǔ,enroll; recruit; admit to
陆续,lù xù,one after another; in succession
录音,lù yīn,sound recording; film recording
轮流,lún liú,take turns; rotation
论文,lùn wén,thesis; dissertation; treatise
落后,luò hòu,fall behind; lag behind; backward
逻辑,luó ji,logic
骂,mà,scold; abuse; call names
麦克风,mài kè fēng,microphone
馒头,mán tou,[steamed bread]
满足,mǎn zú,satisfied; content
毛病,máo bìng,illness; disease; fault
矛盾,máo dùn,contradictory
冒险,mào xiǎn,take a risk; adventure
贸易,mào yì,trade
魅力,mèi lì,enchantment
眉毛,méi mao,eyebrow
美术,měi shù,art
煤炭,méi tàn,coal
媒体,méi tǐ,media
梦想,mèng xiǎng,hope vainly; pipe dream
蜜蜂,mì fēng,(honey) bee
秘密,mì mì,secret; clandestine; confidential
密切,mì qiè,close; intimate; carefully
秘书,mì shū,secretary
面对,miàn duì,face; confront
面积,miàn jī,area
面临,miàn lín,be faced with; be up against
苗条,miáo tiáo,slender; slim
描写,miáo xiě,describe; depict; portray
敏感,mǐn gǎn,sensitive; susceptible; tactful
命令,mìng lìng,order; command; directive
名牌,míng pái,famous brand
名片,míng piàn,business card; visiting card
明确,míng què,clear and definite; clear-cut; unequivocal
名胜古迹,míng shèng gǔ jì,places of historic interest and scenic beauty
明显,míng xiǎn,clear; obvious; evident
明星,míng xīng,celebrity; star
命运,mìng yùn,destiny; lot; fortune
摸,mō,feel [with the hand]
模仿,mó fǎng,to imitate; to copy; model oneself on
模糊,mó hu,vague; indistinct; obscure
陌生,mò shēng,strange; unfamiliar; inexperienced
模特,mó tè,model
摩托车,mó tuō chē,motorcycle
某,mǒu,certain; some
目标,mù biāo,aim; objective; goal
目录,mù lù,catalogue; table of contents
目前,mù qián,at present
木头,mù tou,wood; log; timber
哪怕,nǎ pà,even if; even though
难怪,nán guài,no wonder
难免,nán miǎn,hard to avoid
脑袋,nǎo dài,head; brains
内部,nèi bù,interior
内科,nèi kē,internal medicine
嫩,nèn,tender; delicate; underdone
能干,néng gàn,able; capable; competent
能源,néng yuán,energy
嗯,ng,huh; yeah
念,niàn,to read aloud; attend school; think of
年代,nián dài,years; a decade of a century
年纪,nián jì,age
宁可,nìng kě,would rather; better
牛仔裤,niú zǎi kù,jeans
浓,nóng,dense; thick; concentrated
农村,nóng cūn,countryside rural area
农民,nóng mín,farmer; peasant
农业,nóng yè,agriculture; farming
女士,nǚ shì,lady; Madam; Miss
偶然,ǒu rán,accidentally; fortuitous; incidental
欧洲,oū zhōu,Europe
拍,pāi,to clap; slap; bat; racket; to take (a photo)
派,pài,faction; clique; to dispatch
盼望,pàn wàng,hope for; long for; yearn for
赔偿,péi cháng,compensate for; pay for
